Vessel Code,Vessel Name,Speed,LSFO MT/D,HSFO MT/D,MGO MT/D,Port Stay LSFO,PS MGO,,,,,,,,,,,,,,,,,,
,,15,19,,1.2,2.7,1.6,,,,,,,,,,,,,,,,,,
,,14.5,17,,1.2,2.7,1.6,,,,,,,,,,,,,,,,,,
,,14,16,,1.2,2.7,1.6,,,,,,,,,,,,,,,,,,
,,13,14.5,,1.2,2.7,1.6,,,,,,,,,,,,,,,,,,
,,12.5,12.2,,1.5,2.7,1.6,,,,,,,,,,,,,,,,,,
MODS,M. ODYSSEY,12,11.35,,2.85,,1.45,,,,,,,,,,,,,,,,,,
,,13,12.85,,2.85,,1.45,,,,,,,,,,,,,,,,,,
,,14,14.85,,2.85,,1.45,,,,,,,,,,,,,,,,,,
,,15,17.8,,2.85,,1.45,,,,,,,,,,,,,,,,,,
,,16,21.5,,2.85,,1.45,,,,,,,,,,,,,,,,,,
ZGZH,ZHONG GU ZHU HAI,10,13,,,1.5,,,,,,,,,,,,,,,,,,,
,,11,16,,,1.5,,,,,,,,,,,,,,,,,,,
,,12,20,,,1.5,,,,,,,,,,,,,,,,,,,
,,13,24,,,1.5,,,,,,,,,,,,,,,,,,,
,,14,27,,,1.5,,,,,,,,,,,,,,,,,,,
,,14.5,32,,,1.5,,,,,,,,,,,,,,,,,,,
CSJ7,CHANG SHENG JI 7,11,11.8,,,1.5,,,,,,,,,,,,,,,,,,,
,,12,14.5,,,1.5,,,,,,,,,,,,,,,,,,,
,,13,19,,,1.5,,,,,,,,,,,,,,,,,,,
CSJ8,CHANG SHENG JI 8,10,11,,1.8,,1.8,,,,,,,,,,,,,,,,,,
,,11,13,,1.8,,1.8,,,,,,,,,,,,,,,,,,
,,12,15,,1.8,,1.8,,,,,,,,,,,,,,,,,,
,,12.5,16.5,,1.8,,1.8,,,,,,,,,,,,,,,,,,
CUKL,CUL KLANG,12,21.2,,,4.1,,,,,,,,,,,,,,,,,,,
,,12.5,23.6,,,4.1,,,,,,,,,,,,,,,,,,,
,,13,26.7,,,4.1,,,,,,,,,,,,,,,,,,,
,,13.5,28.2,,,4.1,,,,,,,,,,,,,,,,,,,
,,14,30.5,,,4.1,,,,,,,,,,,,,,,,,,,
,,14.5,32.2,,,4.1,,,,,,,,,,,,,,,,,,,
,,15,34.6,,,4.1,,,,,,,,,,,,,,,,,,,
,,15.5,35.2,,,4.1,,,,,,,,,,,,,,,,,,,
,,16,36.9,,,4.1,,,,,,,,,,,,,,,,,,,
,,16.5,37.6,,,4.1,,,,,,,,,,,,,,,,,,,
CULC,CUL LAEMCHABANG,15,22.31,,,2,,,,,,,,,,,,,,,,,,,
,,16,25.22,,,2,,,,,,,,,,,,,,,,,,,
,,17,29.28,,,2,,,,,,,,,,,,,,,,,,,
,,18,35.76,,,2,,,,,,,,,,,,,,,,,,,
,,18.5,39.79,,,2,,,,,,,,,,,,,,,,,,,
CUYP,CUL YANGPU,15,22.31,,,2,,,,,,,,,,,,,,,,,,,
,,16,25.22,,,2,,,,,,,,,,,,,,,,,,,
,,17,29.28,,,2,,,,,,,,,,,,,,,,,,,
,,18,35.76,,,2,,,,,,,,,,,,,,,,,,,
,,18.5,39.79,,,2,,,,,,,,,,,,,,,,,,,
DFMH,DONG FANG MING HAI,12,13,0,0,0,1.2,,,,,,,,,,,,,,,,,,
,,11,12.2,0,0,0,1.2,,,,,,,,,,,,,,,,,,
